City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,saint george,37.1041,-113.5841,4.88,50,0,0.45,US,1669699046
1,mar del plata,-38.0023,-57.5575,20.61,97,0,3.09,AR,1669698990
2,alofi,-19.0595,-169.9187,25.94,73,96,4.63,NU,1669699047
3,dicabisagan,17.0818,122.4157,29.83,69,42,2.0,PH,1669699047
4,saldanha,-33.0117,17.9442,16.4,93,100,7.82,ZA,1669699047
5,hobart,-42.8794,147.3294,18.92,46,75,7.2,AU,1669698864
6,tecoanapa,16.5167,-98.75,25.06,84,83,2.03,MX,1669699126
7,busselton,-33.65,115.3333,28.3,30,0,3.06,AU,1669699126
8,puerto ayora,-0.7393,-90.3518,21.42,89,48,2.24,EC,1669699127
9,atuona,-9.8,-139.0333,25.56,74,8,4.98,PF,1669699202
10,cacu,-18.5567,-51.1308,23.49,51,64,1.36,BR,1669699203
11,punta arenas,-53.15,-70.9167,5.06,75,0,10.29,CL,1669699137
12,barrow,71.2906,-156.7887,-23.99,77,100,4.12,US,1669698916
13,vila velha,-20.3297,-40.2925,22.97,94,100,3.09,BR,1669699203
14,tiksi,71.6872,128.8694,-33.45,99,45,3.31,RU,1669699279
15,rikitea,-23.1203,-134.9692,23.08,73,76,5.64,PF,1669699279
16,sola,-13.8833,167.55,28.2,72,80,4.27,VU,1669699280
17,boa vista,2.8197,-60.6733,23.99,88,75,1.54,BR,1669699280
18,clyde river,70.4692,-68.5914,-22.87,77,100,8.23,CA,1669698776
19,bethel,41.3712,-73.414,3.85,79,0,1.54,US,1669699356
20,athlone,53.4333,-7.95,6.84,87,76,1.08,IE,1669699356
21,san pedro,14.35,121.0167,33.57,66,40,5.66,PH,1669699257
22,ikorodu,6.6191,3.5041,23.98,83,50,1.23,NG,1669699357
23,ushuaia,-54.8,-68.3,3.81,87,40,13.38,AR,1669698915
24,kodiak,57.79,-152.4072,-2.27,74,0,4.63,US,1669699168
25,bandarbeyla,9.4942,50.8122,26.23,66,52,7.3,SO,1669699433
26,albany,42.6001,-73.9662,2.04,82,20,2.82,US,1669699433
27,salalah,17.0151,54.0924,26.05,53,0,1.54,OM,1669699508
28,bengkulu,-3.8004,102.2655,28.79,67,99,2.64,ID,1669699383
29,kruisfontein,-34.0033,24.7314,18.82,64,34,2.65,ZA,1669699465
30,sharan,54.8167,54.0,-18.52,99,71,0.68,RU,1669699509
31,klaksvik,62.2266,-6.589,7.51,87,9,3.95,FO,1669699240
32,roald,62.5833,6.1333,9.08,53,75,3.6,NO,1669699585
33,cap malheureux,-19.9842,57.6142,26.93,65,45,3.13,MU,1669699585
34,cape town,-33.9258,18.4232,23.54,69,0,5.14,ZA,1669699366
35,san jose,37.3394,-121.895,10.43,74,40,4.12,US,1669699315
36,castro,-24.7911,-50.0119,15.14,99,100,2.66,BR,1669699387
37,muzhi,65.3667,64.6667,-14.71,91,99,1.35,RU,1669699586
38,abha,18.2164,42.5053,14.14,47,0,0.0,SA,1669699595
39,ancud,-41.8697,-73.8203,12.11,94,4,2.63,CL,1669699662
40,port alfred,-33.5906,26.891,21.77,77,32,1.34,ZA,1669699487
41,camocim,-2.9022,-40.8411,25.22,81,100,2.81,BR,1669699662
42,alugan,12.2188,125.4808,29.47,69,30,4.62,PH,1669699738
43,vaini,-21.2,-175.2,28.09,74,20,5.66,TO,1669699798
44,sampit,-2.5333,112.95,30.13,72,100,0.55,ID,1669699799
45,dikson,73.5069,80.5464,-19.68,100,71,2.26,RU,1669699799
46,sioux lookout,50.1001,-91.917,-1.96,100,100,4.12,CA,1669699799
47,tezu,27.9167,96.1667,26.63,26,0,1.65,IN,1669699800
48,whitewater,42.8336,-88.7323,3.62,85,67,5.37,US,1669699800
49,kondagaon,19.6,81.6667,26.68,24,1,1.88,IN,1669699876
50,katsuura,35.1333,140.3,20.83,75,82,11.27,JP,1669699876
51,georgetown,5.4112,100.3354,30.97,73,20,5.14,MY,1669699876
52,bilma,18.6853,12.9164,14.87,47,100,3.12,NE,1669699877
53,manakara,-22.1333,48.0167,27.9,58,15,4.57,MG,1669699952
54,new norfolk,-42.7826,147.0587,18.73,40,75,2.24,AU,1669699953
55,port-gentil,-0.7193,8.7815,25.98,94,75,1.03,GA,1669699953
56,pisco,-13.7,-76.2167,20.03,77,40,3.09,PE,1669699953
57,airai,-8.9266,125.4092,20.58,80,78,1.78,TL,1669700029
58,chuy,-33.6971,-53.4616,18.28,96,29,3.75,UY,1669700029
59,katunino,64.3862,40.6298,-3.06,95,100,1.72,RU,1669700030
60,jamestown,42.097,-79.2353,2.62,86,100,1.54,US,1669700030
61,ostrovnoy,68.0531,39.5131,0.09,88,100,2.65,RU,1669700105
62,mataura,-46.1927,168.8643,15.27,71,95,1.1,NZ,1669700106
63,hilo,19.7297,-155.09,24.03,97,40,3.13,US,1669699838
64,ugoofaaru,5.6667,73.0,27.14,71,27,0.27,MV,1669700106
65,oksfjord,70.2396,22.3479,2.1,88,96,3.57,NO,1669700182
66,san patricio,28.017,-97.5169,22.93,95,100,3.24,US,1669700182
67,kapaa,22.0752,-159.319,23.99,96,100,5.66,US,1669700183
68,berlevag,70.8578,29.0864,2.0,69,100,8.75,NO,1669700183
69,thompson,55.7435,-97.8558,-8.91,86,100,8.75,CA,1669700262
70,cherskiy,68.75,161.3,-14.41,96,100,2.91,RU,1669700216
71,scarborough,54.2797,-0.4044,5.37,93,1,1.34,GB,1669700262
72,sorong,-0.8833,131.25,29.23,70,46,3.46,ID,1669700263
73,novobirilyussy,56.9514,90.6661,-18.52,81,74,3.41,RU,1669700338
74,hithadhoo,-0.6,73.0833,27.18,76,90,4.16,MV,1669700339
75,cuxhaven,53.8718,8.6909,4.11,93,75,3.09,DE,1669700280
76,qaanaaq,77.484,-69.3632,-24.58,91,56,2.9,GL,1669700339
77,miri,4.4148,114.0089,30.08,74,40,3.09,MY,1669700340
78,shimoda,34.6667,138.95,22.2,81,98,8.83,JP,1669700415
79,medveda,56.5081,92.4078,-17.04,81,100,4.17,RU,1669700415
80,vardo,70.3705,31.1107,-0.01,80,92,7.72,NO,1669700117
81,saint anthony,45.0205,-93.218,1.25,81,75,4.12,US,1669700416
82,olinda,-8.0089,-34.8553,24.85,78,75,4.12,BR,1669700416
83,port elizabeth,-33.918,25.5701,22.4,77,0,5.14,ZA,1669700492
84,butaritari,3.0707,172.7902,27.36,76,76,4.08,KI,1669700492
85,astoria,46.1879,-123.8313,3.25,93,0,2.06,US,1669700492
86,khatanga,71.9667,102.5,-18.29,96,100,5.86,RU,1669700493
87,saint-philippe,-21.3585,55.7679,27.77,76,88,3.98,RE,1669700568
88,spirit river,55.7833,-118.8361,-16.76,96,100,2.67,CA,1669700569
89,yar-sale,66.8333,70.8333,-12.23,96,100,1.92,RU,1669700569
90,carnarvon,-24.8667,113.6333,26.66,62,0,6.6,AU,1669700569
91,upernavik,72.7868,-56.1549,-13.89,99,100,9.37,GL,1669700645
92,port hawkesbury,45.6169,-61.3485,3.43,89,75,6.71,CA,1669700705
93,sassandra,4.95,-6.0833,23.36,92,43,2.05,CI,1669700706
94,northam,51.0333,-4.2167,7.99,84,14,2.49,GB,1669700706
95,maceio,-9.6658,-35.7353,24.69,88,75,1.54,BR,1669700662
96,arraial do cabo,-22.9661,-42.0278,22.68,94,86,9.86,BR,1669700707
97,tasiilaq,65.6145,-37.6368,-0.91,94,100,5.01,GL,1669700707
98,clonakilty,51.6231,-8.8706,8.56,85,31,0.96,IE,1669700782
99,tuktoyaktuk,69.4541,-133.0374,-25.0,77,40,5.14,CA,1669700558
100,ahipara,-35.1667,173.1667,16.64,98,100,3.31,NZ,1669700783
101,tolaga bay,-38.3667,178.3,18.61,62,89,1.09,NZ,1669700783
102,beidao,34.5686,105.8933,-0.68,42,90,5.13,CN,1669700784
103,cabo san lucas,22.8909,-109.9124,21.95,67,0,4.64,MX,1669700282
104,nanakuli,21.3906,-158.1547,22.97,70,75,0.0,US,1669700580
105,plettenberg bay,-34.0527,23.3716,25.33,55,14,2.15,ZA,1669700860
106,puerto princesa,9.7392,118.7353,31.99,70,20,6.17,PH,1669700860
107,waipawa,-41.4122,175.5153,15.79,72,87,7.62,NZ,1669700935
